Indexcd,Trddt,Idxret
2,4/1/2016,-6.864
2,5/1/2016,-0.268
2,6/1/2016,2.2598
2,7/1/2016,-7.0437
2,8/1/2016,1.9637
2,11/1/2016,-5.3141
2,12/1/2016,0.2013
2,13/1/2016,-2.4292
2,14/1/2016,1.9649
2,15/1/2016,-3.5522
2,18/1/2016,0.4429
2,19/1/2016,3.2213
2,20/1/2016,-1.029
2,21/1/2016,-3.2301
2,22/1/2016,1.2525
2,25/1/2016,0.752
2,26/1/2016,-6.4292
2,27/1/2016,-0.5194
2,28/1/2016,-2.9261
2,29/1/2016,3.0866
2,1/2/2016,-1.783
2,2/2/2016,2.2579
2,3/2/2016,-0.3772
2,4/2/2016,1.5254
2,5/2/2016,-0.6342
2,15/2/2016,-0.6242
2,16/2/2016,3.2976
2,17/2/2016,1.0855
2,18/2/2016,-0.1586
2,19/2/2016,-0.1
2,22/2/2016,2.3512
2,23/2/2016,-0.8164
2,24/2/2016,0.8811
2,25/2/2016,-6.4092
2,26/2/2016,0.945
2,29/2/2016,-2.8593
2,1/3/2016,1.6813
2,2/3/2016,4.2654
2,3/3/2016,0.3562
2,4/3/2016,0.5104
2,7/3/2016,0.8048
2,8/3/2016,0.1396
2,9/3/2016,-1.3376
2,10/3/2016,-2.0264
2,11/3/2016,0.1987
2,14/3/2016,1.7491
2,15/3/2016,0.1717
2,16/3/2016,0.2171
2,17/3/2016,1.1969
2,18/3/2016,1.7308
2,21/3/2016,2.1562
2,22/3/2016,-0.6453
2,23/3/2016,0.3531
2,24/3/2016,-1.6305
2,25/3/2016,0.6236
2,28/3/2016,-0.7284
2,29/3/2016,-1.2855
2,30/3/2016,2.7721
2,31/3/2016,0.1092
2,1/4/2016,0.1879
2,5/4/2016,1.4494
2,6/4/2016,-0.0819
2,7/4/2016,-1.386
2,8/4/2016,-0.7799
2,11/4/2016,1.6449
2,12/4/2016,-0.3412
2,13/4/2016,1.4242
2,14/4/2016,0.5133
2,15/4/2016,-0.1381
2,18/4/2016,-1.446
2,19/4/2016,0.303
2,20/4/2016,-2.3086
2,21/4/2016,-0.6637
2,22/4/2016,0.2145
2,25/4/2016,-0.4255
2,26/4/2016,0.6126
2,27/4/2016,-0.3733
2,28/4/2016,-0.274
2,29/4/2016,-0.2477
2,3/5/2016,1.8509
2,4/5/2016,-0.0457
2,5/5/2016,0.2206
