Indexcd,Trddt,Idxret
399107,4/1/2016,-8.2298
399107,5/1/2016,-1.8714
399107,6/1/2016,2.6101
399107,7/1/2016,-8.2592
399107,8/1/2016,1.0469
399107,11/1/2016,-6.6056
399107,12/1/2016,0.3937
399107,13/1/2016,-3.4718
399107,14/1/2016,3.8177
399107,15/1/2016,-3.4063
399107,18/1/2016,1.9127
399107,19/1/2016,3.5792
399107,20/1/2016,-1.0227
399107,21/1/2016,-4.0221
399107,22/1/2016,1.4634
399107,25/1/2016,1.0091
399107,26/1/2016,-7.1321
399107,27/1/2016,-0.836
399107,28/1/2016,-4.1961
399107,29/1/2016,3.7116
399107,1/2/2016,-1.0362
399107,2/2/2016,3.4325
399107,3/2/2016,0.475
399107,4/2/2016,1.9539
399107,5/2/2016,-1.1535
399107,15/2/2016,-0.031
399107,16/2/2016,4.1062
399107,17/2/2016,1.4269
399107,18/2/2016,-0.3413
399107,19/2/2016,0.4934
399107,22/2/2016,2.0394
399107,23/2/2016,-0.5817
399107,24/2/2016,-0.0375
399107,25/2/2016,-7.3576
399107,26/2/2016,-0.1255
399107,29/2/2016,-5.3784
399107,1/3/2016,2.3243
399107,2/3/2016,4.7149
399107,3/3/2016,-0.1372
399107,4/3/2016,-2.9181
399107,7/3/2016,2.0391
399107,8/3/2016,0.5153
399107,9/3/2016,-2.1217
399107,10/3/2016,-1.4314
399107,11/3/2016,-0.2192
399107,14/3/2016,3.5727
399107,15/3/2016,-0.9314
399107,16/3/2016,-1.0206
399107,17/3/2016,3.5729
399107,18/3/2016,3.6641
399107,21/3/2016,2.6826
399107,22/3/2016,-0.2966
399107,23/3/2016,1.1606
399107,24/3/2016,-1.3928
399107,25/3/2016,0.4842
399107,28/3/2016,-0.5621
399107,29/3/2016,-1.8269
399107,30/3/2016,3.6107
399107,31/3/2016,0.2859
399107,1/4/2016,-0.5592
399107,5/4/2016,2.6154
399107,6/4/2016,0.5474
399107,7/4/2016,-1.6099
399107,8/4/2016,-0.826
399107,11/4/2016,1.9995
399107,12/4/2016,-0.8665
399107,13/4/2016,1.3871
399107,14/4/2016,1.0231
399107,15/4/2016,-0.1959
399107,18/4/2016,-1.3238
399107,19/4/2016,0.299
399107,20/4/2016,-4.4388
399107,21/4/2016,-1.2336
399107,22/4/2016,1.0302
399107,25/4/2016,-0.409
399107,26/4/2016,1.1914
399107,27/4/2016,-0.2916
399107,28/4/2016,-0.1164
399107,29/4/2016,-0.021
399107,3/5/2016,2.9478
399107,4/5/2016,-0.0189
399107,5/5/2016,0.7268
399107,6/5/2016,-3.6571
399107,9/5/2016,-3.5972
399107,10/5/2016,-0.1155
399107,11/5/2016,-0.6237
399107,12/5/2016,-0.055
399107,13/5/2016,-0.3186
399107,16/5/2016,1.7266
399107,17/5/2016,-0.0162
399107,18/5/2016,-2.6794
399107,19/5/2016,0.5559
399107,20/5/2016,1.0791
399107,23/5/2016,1.4521
399107,24/5/2016,-0.9039
399107,25/5/2016,-0.2446
399107,26/5/2016,0.4854
399107,27/5/2016,-0.1079
399107,30/5/2016,-0.4589
399107,31/5/2016,4.0976
399107,1/6/2016,0.7578
399107,2/6/2016,0.9684
399107,3/6/2016,0.5271
399107,6/6/2016,0.2785
399107,7/6/2016,0.2486
399107,8/6/2016,-0.3264
399107,13/6/2016,-4.7688
399107,14/6/2016,0.2904
399107,15/6/2016,3.1327
399107,16/6/2016,-0.2329
399107,17/6/2016,0.8125
399107,20/6/2016,0.4452
399107,21/6/2016,-1.0203
399107,22/6/2016,1.6799
399107,23/6/2016,-0.3225
399107,24/6/2016,-0.7632
399107,27/6/2016,2.4292
399107,28/6/2016,1.2184
399107,29/6/2016,0.1502
399107,30/6/2016,0.0433
399107,1/7/2016,-0.1812
399107,4/7/2016,1.574
399107,5/7/2016,0.2349
399107,6/7/2016,0.4412
399107,7/7/2016,-0.0015
399107,8/7/2016,-0.1433
399107,11/7/2016,-0.5633
399107,12/7/2016,1.2027
399107,13/7/2016,0.8229
399107,14/7/2016,0.1602
399107,15/7/2016,-0.3055
399107,18/7/2016,-0.5346
399107,19/7/2016,0.3248
399107,20/7/2016,0.0682
399107,21/7/2016,0.1121
399107,22/7/2016,-0.9154
399107,25/7/2016,0.0126
399107,26/7/2016,1.2477
399107,27/7/2016,-4.4581
399107,28/7/2016,-0.1595
399107,29/7/2016,-0.487
399107,1/8/2016,-1.4915
399107,2/8/2016,0.7344
399107,3/8/2016,0.4222
399107,4/8/2016,0.7309
399107,5/8/2016,-0.3761
399107,8/8/2016,1.0658
399107,9/8/2016,1.0416
399107,10/8/2016,-0.3288
399107,11/8/2016,-1.2803
399107,12/8/2016,1.1692
399107,15/8/2016,2.5182
399107,16/8/2016,0.6726
399107,17/8/2016,0.3178
399107,18/8/2016,-0.0506
399107,19/8/2016,0.123
399107,22/8/2016,-1.2762
399107,23/8/2016,0.2674
399107,24/8/2016,0.3085
399107,25/8/2016,-0.5553
399107,26/8/2016,0.2018
399107,29/8/2016,0.2007
399107,30/8/2016,0.06
399107,31/8/2016,0.2232
399107,1/9/2016,-0.7607
399107,2/9/2016,-0.4081
399107,5/9/2016,0.437
399107,6/9/2016,1.4932
399107,7/9/2016,-0.181
399107,8/9/2016,0.2724
399107,9/9/2016,-0.7365
399107,12/9/2016,-2.8534
399107,13/9/2016,0.6225
399107,14/9/2016,-0.4593
399107,19/9/2016,1.0642
399107,20/9/2016,-0.0612
399107,21/9/2016,0.276
399107,22/9/2016,0.6271
399107,23/9/2016,-0.4981
399107,26/9/2016,-2.0719
399107,27/9/2016,0.748
399107,28/9/2016,-0.1513
399107,29/9/2016,0.3857
399107,30/9/2016,0.4897
399107,10/10/2016,1.8984
399107,11/10/2016,0.5099
399107,12/10/2016,0.1696
399107,13/10/2016,0.1068
399107,14/10/2016,-0.125
399107,17/10/2016,-0.9315
399107,18/10/2016,1.4328
399107,19/10/2016,-0.136
399107,20/10/2016,0.3217
399107,21/10/2016,-0.3795
399107,24/10/2016,0.8583
399107,25/10/2016,0.3647
399107,26/10/2016,-0.404
399107,27/10/2016,-0.059
399107,28/10/2016,-0.7778
399107,31/10/2016,-0.0845
399107,1/11/2016,1.1168
399107,2/11/2016,-0.6306
399107,3/11/2016,0.5597
399107,4/11/2016,-0.2136
399107,7/11/2016,-0.016
399107,8/11/2016,0.6606
399107,9/11/2016,-0.5748
399107,10/11/2016,1.3745
399107,11/11/2016,0.5332
399107,14/11/2016,0.2985
399107,15/11/2016,0.4796
399107,16/11/2016,0.0213
399107,17/11/2016,-0.3742
399107,18/11/2016,-0.2643
399107,21/11/2016,0.3654
399107,22/11/2016,0.8974
399107,23/11/2016,-0.3933
399107,24/11/2016,-0.3783
399107,25/11/2016,0.3948
399107,28/11/2016,-0.1426
399107,29/11/2016,-0.7782
399107,30/11/2016,-0.1639
399107,1/12/2016,0.6069
399107,2/12/2016,-1.6647
399107,5/12/2016,-0.7832
399107,6/12/2016,0.1578
399107,7/12/2016,0.9128
399107,8/12/2016,-0.6224
399107,9/12/2016,-0.355
399107,12/12/2016,-4.8706
399107,13/12/2016,0.3314
399107,14/12/2016,-0.8136
399107,15/12/2016,0.6692
399107,16/12/2016,0.9518
399107,19/12/2016,-0.3784
399107,20/12/2016,-0.1388
399107,21/12/2016,0.744
399107,22/12/2016,-0.1343
399107,23/12/2016,-1.1193
399107,26/12/2016,0.371
399107,27/12/2016,0.0683
399107,28/12/2016,-0.3746
399107,29/12/2016,-0.3114
399107,30/12/2016,0.1459
399107,3/1/2017,0.8566
399107,4/1/2017,1.1529
399107,5/1/2017,-0.1603
399107,6/1/2017,-0.8715
399107,9/1/2017,0.3035
399107,10/1/2017,-0.2449
399107,11/1/2017,-1.0499
399107,12/1/2017,-0.8718
399107,13/1/2017,-1.5549
399107,16/1/2017,-3.6293
399107,17/1/2017,1.1694
399107,18/1/2017,-0.4521
399107,19/1/2017,-0.3833
399107,20/1/2017,1.528
399107,23/1/2017,0.8693
399107,24/1/2017,-0.3023
399107,25/1/2017,0.4008
399107,26/1/2017,0.7002
399107,3/2/2017,-0.3886
399107,6/2/2017,0.9343
399107,7/2/2017,-0.0209
399107,8/2/2017,0.7604
399107,9/2/2017,0.6616
399107,10/2/2017,-0.2226
399107,13/2/2017,0.7402
399107,14/2/2017,-0.0217
399107,15/2/2017,-0.883
399107,16/2/2017,0.5692
399107,17/2/2017,-0.6666
399107,20/2/2017,0.8956
399107,21/2/2017,0.95
399107,22/2/2017,0.463
399107,23/2/2017,0.0839
399107,24/2/2017,0.4219
399107,27/2/2017,-0.5809
399107,28/2/2017,0.6325
399107,1/3/2017,0.3778
399107,2/3/2017,-0.5575
399107,3/3/2017,0.2102
399107,6/3/2017,1.1835
399107,7/3/2017,0.3019
399107,8/3/2017,-0.3596
399107,9/3/2017,-0.7256
399107,10/3/2017,0.2025
399107,13/3/2017,0.8076
399107,14/3/2017,-0.1379
399107,15/3/2017,-0.0185
399107,16/3/2017,0.9661
399107,17/3/2017,-0.8121
399107,20/3/2017,0.3134
399107,21/3/2017,0.3864
399107,22/3/2017,-0.2964
399107,23/3/2017,0.0361
399107,24/3/2017,0.4001
399107,27/3/2017,-0.3578
399107,28/3/2017,-0.2556
399107,29/3/2017,-0.7311
399107,30/3/2017,-1.9751
399107,31/3/2017,0.3481
399107,5/4/2017,1.8512
399107,6/4/2017,0.2974
399107,7/4/2017,-0.0434
399107,10/4/2017,-0.9808
399107,11/4/2017,0.692
399107,12/4/2017,-0.7633
399107,13/4/2017,0.3828
399107,14/4/2017,-1.393
399107,17/4/2017,-1.418
399107,18/4/2017,-0.6219
399107,19/4/2017,-0.7183
399107,20/4/2017,-0.1905
399107,21/4/2017,-0.445
399107,24/4/2017,-2.4444
399107,25/4/2017,0.506
399107,26/4/2017,0.3708
399107,27/4/2017,0.5478
399107,28/4/2017,0.3635
399107,2/5/2017,-0.0016
399107,3/5/2017,-0.2699
399107,4/5/2017,-0.2827
399107,5/5/2017,-1.2446
399107,8/5/2017,-1.9887
399107,9/5/2017,0.6615
399107,10/5/2017,-1.3624
399107,11/5/2017,-0.1883
399107,12/5/2017,0.0558
399107,15/5/2017,0.3748
399107,16/5/2017,2.0985
399107,17/5/2017,0.1295
399107,18/5/2017,-0.6263
399107,19/5/2017,-0.1235
399107,22/5/2017,-1.3777
399107,23/5/2017,-2.124
399107,24/5/2017,0.527
399107,25/5/2017,0.7248
399107,26/5/2017,-0.0998
399107,31/5/2017,-0.0985
399107,1/6/2017,-1.923
399107,2/6/2017,0.8463
399107,5/6/2017,0.6908
399107,6/6/2017,0.5486
399107,7/6/2017,2.1972
399107,8/6/2017,0.1235
399107,9/6/2017,0.233
399107,12/6/2017,-1.1022
399107,13/6/2017,1.2612
399107,14/6/2017,-0.3827
399107,15/6/2017,0.9161
399107,16/6/2017,-0.1968
399107,19/6/2017,0.5796
399107,20/6/2017,0.1187
399107,21/6/2017,0.4332
399107,22/6/2017,-1.2956
399107,23/6/2017,0.4557
399107,26/6/2017,1.3614
399107,27/6/2017,0.0922
399107,28/6/2017,-0.8007
399107,29/6/2017,0.4724
399107,30/6/2017,0.2859
399107,3/7/2017,0.3981
399107,4/7/2017,-0.4555
399107,5/7/2017,0.8763
399107,6/7/2017,0.0755
399107,7/7/2017,0.1852
399107,10/7/2017,-0.6681
399107,11/7/2017,-0.727
399107,12/7/2017,-0.1138
399107,13/7/2017,-0.0411
399107,14/7/2017,-0.4089
399107,17/7/2017,-4.2867
399107,18/7/2017,0.5981
399107,19/7/2017,1.5331
399107,20/7/2017,0.4852
399107,21/7/2017,-0.1183
399107,24/7/2017,0.4797
399107,25/7/2017,-0.3278
399107,26/7/2017,-0.2968
399107,27/7/2017,1.2424
399107,28/7/2017,0.13
399107,31/7/2017,0.5744
399107,1/8/2017,0.1803
399107,2/8/2017,-0.7001
399107,3/8/2017,-0.0048
399107,4/8/2017,-0.5749
399107,7/8/2017,0.7439
399107,8/8/2017,0.3681
399107,9/8/2017,0.341
399107,10/8/2017,-0.6884
399107,11/8/2017,-1.6032
399107,14/8/2017,2.0214
399107,15/8/2017,0.4013
399107,16/8/2017,0.5911
399107,17/8/2017,0.5811
399107,18/8/2017,-0.3749
399107,21/8/2017,0.7481
399107,22/8/2017,-0.4228
399107,23/8/2017,-0.3316
399107,24/8/2017,-0.605
