Stkcd,Disttyp,Exdistdt,Annodt
2,CA,21/7/2015,14/7/2015
2,CA,29/7/2016,22/7/2016
2,CA,29/8/2017,22/8/2017
2,CA,23/8/2018,16/8/2018
2,CA,15/8/2019,9/8/2019
2,CA,14/8/2020,8/8/2020
39,CA,22/7/2015,15/7/2015
39,CA,20/7/2016,13/7/2016
39,CA,20/7/2017,12/7/2017
39,CA,20/7/2018,13/7/2018
39,CA,28/6/2019,22/6/2019
39,SD,28/6/2019,22/6/2019
39,CA,24/6/2020,17/6/2020
63,CA,17/7/2015,11/7/2015
63,SD,17/7/2015,11/7/2015
63,CA,15/7/2016,9/7/2016
63,CA,12/8/2020,5/8/2020
157,CA,7/8/2015,1/8/2015
157,CA,26/8/2016,20/8/2016
157,CA,25/8/2017,19/8/2017
157,CA,24/8/2018,18/8/2018
157,CA,5/8/2019,27/7/2019
157,CA,27/10/2020,20/10/2020
166,CA,6/7/2016,30/6/2016
166,SD,6/7/2016,30/6/2016
166,CA,16/6/2017,9/6/2017
166,CA,27/6/2018,20/6/2018
166,CA,17/5/2019,10/5/2019
166,CA,20/8/2020,14/8/2020
338,CA,20/8/2015,13/8/2015
338,SD,20/8/2015,13/8/2015
338,CA,20/10/2015,14/10/2015
338,CA,29/7/2016,23/7/2016
338,CA,20/10/2016,14/10/2016
338,CA,21/7/2017,14/7/2017
338,SD,21/7/2017,14/7/2017
338,CA,20/10/2017,14/10/2017
338,CA,31/7/2018,25/7/2018
338,CA,23/10/2018,16/10/2018
338,CA,31/7/2019,24/7/2019
338,CA,25/10/2019,18/10/2019
338,CA,18/8/2020,11/8/2020
338,CA,16/10/2020,10/10/2020
488,CA,10/7/2015,4/7/2015
488,CA,15/7/2016,7/7/2016
488,CA,16/6/2017,9/6/2017
488,CA,10/8/2018,6/8/2018
488,SD,10/8/2018,6/8/2018
488,CA,9/8/2019,5/8/2019
488,CA,18/8/2020,11/8/2020
513,CA,14/8/2015,7/8/2015
513,SD,14/8/2015,7/8/2015
513,CA,15/6/2016,7/6/2016
513,CA,7/7/2017,30/6/2017
513,SD,7/7/2017,30/6/2017
513,CA,22/6/2018,14/6/2018
513,SD,22/6/2018,14/6/2018
513,CA,3/7/2019,26/6/2019
513,SD,3/7/2019,26/6/2019
513,CA,4/6/2020,29/5/2020
756,CA,19/8/2015,12/8/2015
756,CA,12/8/2016,5/8/2016
756,CA,26/1/2018,20/1/2018
756,CA,27/7/2018,20/7/2018
756,SD,27/7/2018,20/7/2018
756,CA,26/7/2019,18/7/2019
756,CA,7/8/2020,30/7/2020
776,CA,8/5/2015,30/4/2015
776,CA,24/8/2016,16/8/2016
776,CA,5/7/2017,27/6/2017
776,CA,15/8/2018,9/8/2018
776,CA,13/12/2019,7/12/2019
776,CA,5/8/2020,30/7/2020
898,CA,30/6/2015,24/6/2015
898,CA,30/6/2017,23/6/2017
898,CA,29/6/2018,23/6/2018
898,CA,28/6/2019,21/6/2019
898,SD,28/6/2019,21/6/2019
898,CA,30/6/2020,20/6/2020
