Stkcd,Accper,eps,eps_diluted,ttl_shr_cap,
2,31/3/2007,0.14,0.14,,
2,30/6/2007,0.25,0.25,6554848126,
2,30/9/2007,0.29,0.29,,
2,31/12/2007,0.73,0.73,6872006387,
2,31/3/2008,0.11,0.11,,
2,30/6/2008,0.19,0.19,10995210218,
2,30/9/2008,0.21,0.21,,
2,31/12/2008,0.37,0.37,10995210218,
2,31/3/2009,0.07,0.07,,
2,30/6/2009,0.23,0.23,10995210218,
2,30/9/2009,0.269,0.269,,
2,31/12/2009,0.48,0.48,10995210218,
2,31/3/2010,0.1,0.1,,
2,30/6/2010,0.26,0.26,10995210218,
2,30/9/2010,0.298,0.298,,
2,31/12/2010,0.66,0.66,10995210218,
2,31/3/2011,0.11,0.11,,
2,30/6/2011,0.27,0.27,10995210218,
2,30/9/2011,0.326,0.326,,
2,31/12/2011,0.88,0.88,10995210218,
2,31/3/2012,0.13,0.13,,
2,30/6/2012,0.34,0.34,10995210218,
2,30/9/2012,0.46,0.46,,
2,31/12/2012,1.14,1.14,10995553118,
2,31/3/2013,0.15,0.15,,
2,30/6/2013,0.41,0.41,11013724969,
2,30/9/2013,0.56,0.56,,
2,31/12/2013,1.37,1.37,11014968919,
2,31/3/2014,0.14,0.14,,
2,30/6/2014,0.44,0.44,11015861819,
2,30/9/2014,0.59,0.59,,
2,31/12/2014,1.43,1.43,11037507242,
2,31/3/2015,0.059,0.059,,
2,30/6/2015,0.44,0.44,11048058100,
2,30/9/2015,0.62,0.62,,
2,31/12/2015,1.64,1.64,11051612300,
2,31/3/2016,0.075,0.075,,
2,30/6/2016,0.48,0.48,11039152001,
2,30/9/2016,0.75,0.75,,
2,31/12/2016,1.9,1.9,11039152001,
2,31/3/2017,0.063,0.063,,
2,30/6/2017,0.66,0.66,11039152001,
2,30/9/2017,1.005,1.005,,
2,31/12/2017,2.54,2.54,11039152001,
2,31/3/2018,0.081,0.081,,
2,30/6/2018,0.83,0.83,11039152001,
2,30/9/2018,1.267,1.267,,
2,31/12/2018,3.06,3.06,11039152001,
2,31/3/2019,0.102,0.102,,
2,30/6/2019,1.06,1.06,11302143001,
2,30/9/2019,1.631,1.631,,
2,31/12/2019,3.47,3.47,11302143001,
2,31/3/2020,0.111,0.111,,
2,30/6/2020,1.11,1.11,11617732201,
2,30/9/2020,1.741,1.741,,
39,31/3/2007,0.26,0.26,,
39,30/6/2007,0.5,0.5,2662396051,
39,30/9/2007,0.72,0.72,,
39,31/12/2007,1.19,1.19,2662396051,
39,31/3/2008,0.15,0.15,,
39,30/6/2008,0.39,0.39,2662396051,
39,30/9/2008,0.64,0.64,,
39,31/12/2008,0.53,0.53,2662396051,
39,31/3/2009,0.1574,0.1574,,
39,30/6/2009,0.31,0.31,2662396051,
39,30/9/2009,0.29,0.29,,
39,31/12/2009,0.36,0.36,2662396051,
39,31/3/2010,0.13,0.13,,
39,30/6/2010,0.3428,0.3428,2662396051,
39,30/9/2010,0.8733,0.8733,,
39,31/12/2010,1.13,1.13,2662396051,
39,31/3/2011,0.5102,0.5102,,
39,30/6/2011,1.0545,1.0545,2662396051,
39,30/9/2011,1.2475,1.2475,,
39,31/12/2011,1.39,1.39,2662396051,
39,31/3/2012,0.141,0.1408,,
39,30/6/2012,0.3507,0.3495,2662396051,
39,30/9/2012,0.5951,0.5937,,
39,31/12/2012,0.73,0.73,2662396051,
39,31/3/2013,0.0824,0.0822,,
39,30/6/2013,0.2073,0.207,2662396051,
39,30/9/2013,0.3669,0.3664,,
39,31/12/2013,0.82,0.81,2662396051,
39,31/3/2014,0.048,0.0478,,
39,30/6/2014,0.3885,0.3845,2664588601,
39,30/9/2014,0.6086,0.6061,,
39,31/12/2014,0.93,0.92,2672628551,
39,31/3/2015,0.1861,0.1848,,
39,30/6/2015,0.5681,0.5627,2687085016,
39,30/9/2015,0.644,0.6384,,
39,31/12/2015,0.72,0.71,2977819686,
39,31/3/2016,0.1291,0.1286,,
39,30/6/2016,-0.1444,-0.1444,2978359386,
39,30/9/2016,-0.0898,-0.0898,,
39,31/12/2016,0.14,0.14,2978576986,
39,31/3/2017,0.1624,0.162,,
39,30/6/2017,0.2554,0.2544,2980352786,
39,30/9/2017,0.4187,0.4171,,
39,31/12/2017,0.81,0.81,2982889136,
39,31/3/2018,0.1409,0.1405,,
39,30/6/2018,0.3061,0.3038,2984959336,
39,30/9/2018,0.759,0.7561,,
39,31/12/2018,1.11,1.1,2984988936,
39,31/3/2019,0.1191,0.119,,
39,30/6/2019,0.1618,0.1618,2984988936,
39,30/9/2019,0.1357,0.1343,,
39,31/12/2019,0.37,0.37,3584504382,
39,31/3/2020,-0.1929,-0.1929,,
39,30/6/2020,-0.0841,-0.0841,3586745482,
39,30/9/2020,0.1398,0.1398,,
63,31/3/2007,0.044,0.044,,
63,30/6/2007,0.48,0.48,959521650,
63,30/9/2007,0.63,0.63,,
63,31/12/2007,1.3,1.29,959521650,
63,31/3/2008,0.063,0.063,,
63,30/6/2008,0.41,0.41,959521650,
63,30/9/2008,0.61,0.6,,
63,31/12/2008,1.24,1.2,1343330310,
63,31/3/2009,0.06,0.06,,
63,30/6/2009,0.45,0.44,1746329402,
63,30/9/2009,0.68,0.67,,
63,31/12/2009,1.4,1.35,1831336215,
63,31/3/2010,0.06,0.06,,
63,30/6/2010,0.32,0.31,2866731684,
63,30/9/2010,0.49,0.48,,
63,31/12/2010,1.17,1.15,2866731684,
63,31/3/2011,0.05,0.04,,
63,30/6/2011,0.27,0.27,2866731684,
63,30/9/2011,0.31,0.31,,
63,31/12/2011,0.61,0.61,3440078020,
63,31/3/2012,0.04,0.04,,
63,30/6/2012,0.07,0.07,3440078020,
63,30/9/2012,-0.5,-0.49,,
63,31/12/2012,-0.83,-0.83,3440078020,
63,31/3/2013,0.06,0.06,,
63,30/6/2013,0.09,0.09,3440078020,
63,30/9/2013,0.16,0.16,,
63,31/12/2013,0.39,0.39,3437541278,
63,31/3/2014,0.18,0.18,,
63,30/6/2014,0.33,0.33,3437541278,
63,30/9/2014,0.53,0.53,,
63,31/12/2014,0.77,0.77,3437541278,
63,31/3/2015,0.24,0.24,,
63,30/6/2015,0.47,0.46,3437541278,
63,30/9/2015,0.63,0.62,,
63,31/12/2015,0.78,0.77,5140791215,
63,31/3/2016,0.23,0.23,,
63,30/6/2016,0.43,0.42,4154242094,
63,30/9/2016,0.69,0.68,,
63,31/12/2016,-0.57,-0.57,4184628172,
63,31/3/2017,0.29,0.29,,
63,30/6/2017,0.55,0.55,4190014530,
63,30/9/2017,0.93,0.92,,
63,31/12/2017,1.09,1.08,4192671843,
63,31/3/2018,-1.29,-1.29,,
63,30/6/2018,-1.87,-1.87,4192671843,
63,30/9/2018,-1.73,-1.73,,
63,31/12/2018,-1.67,-1.67,4192671843,
63,31/3/2019,0.21,0.2,,
63,30/6/2019,0.35,0.35,4192671843,
63,30/9/2019,0.98,0.98,,
63,31/12/2019,1.22,1.22,4227529869,
63,31/3/2020,0.18,0.18,,
63,30/6/2020,0.4,0.4,4613434832,
63,30/9/2020,0.59,0.59,,
157,31/3/2007,0.4172,0.4172,,
157,30/6/2007,0.68,0.68,760500000,
157,30/9/2007,1.19,1.19,,
157,31/12/2007,1.75,1.75,760500000,
157,31/3/2008,0.48,0.48,,
157,30/6/2008,0.59,0.59,1521000000,
157,30/9/2008,0.92,0.92,,
157,31/12/2008,1.0318,1.0318,1521000000,
157,31/3/2009,0.1977,0.1977,,
157,30/6/2009,0.7132,0.7132,1521000000,
157,30/9/2009,1.0041,1.0041,,
157,31/12/2009,1.418,1.418,1673100000,
157,31/3/2010,0.4145,0.4145,,
157,30/6/2010,1.1767,1.1767,1971054705,
157,30/9/2010,0.6431,0.6431,,
