Stkcd_a,Stknme,Listdt,Conme,Conme_en,Stkcd_h
2399,海普瑞,6/5/2010,深圳市海普瑞药业集团股份有限公司,"Shenzhen Hepalink Pharmaceutical Group Co., Ltd.",9989
601688,华泰证券,26/2/2010,华泰证券股份有限公司,"Huatai Securities Co., Ltd.",6886
600837,海通证券,24/2/1994,海通证券股份有限公司,"Haitong Securities Co., Ltd.",6837
601818,光大银行,18/8/2010,中国光大银行股份有限公司,"China Everbright Bank Co., Ltd.",6818
166,申万宏源,26/1/2015,申万宏源集团股份有限公司,"Shenwan Hongyuan Group Co., Ltd.",6806
601788,光大证券,18/8/2009,光大证券股份有限公司,"Everbright Securities Co., Ltd.",6178
600999,招商证券,17/11/2009,招商证券股份有限公司,"China Merchants Securities Co., Ltd.",6099
600030,中信证券,6/1/2003,中信证券股份有限公司,"CITIC Securities Co., Ltd.?",6030
603993,洛阳钼业,9/10/2012,洛阳栾川钼业集团股份有限公司,"China Molybdenum Co., Ltd.",3993
601988,中国银行,5/7/2006,中国银行股份有限公司,Bank of China Limited,3988
600036,招商银行,9/4/2002,招商银行股份有限公司,"China Merchants Bank Co., Ltd.",3968
600958,东方证券,23/3/2015,东方证券股份有限公司,Orient Securities Company Limited,3958
600660,福耀玻璃,10/6/1993,福耀玻璃工业集团股份有限公司,"Fuyao Glass Industry Group Co., Ltd.",3606
601328,交通银行,15/5/2007,交通银行股份有限公司,"Bank of Communications Co., Ltd.",3328
601899,紫金矿业,25/4/2008,紫金矿业集团股份有限公司,"Zijin Mining Group Co., Ltd.",2899
601808,中海油服,28/9/2007,中海油田服务股份有限公司,China Oilfield Services Limited,2883
601880,大连港,6/12/2010,大连港股份有限公司,Dalian Port (PDA) Company Limited,2880
601866,中远海发,12/12/2007,中远海运发展股份有限公司,"COSCO?Shipping Development Co., Ltd.",2866
601727,上海电气,5/12/2008,上海电气集团股份有限公司,"Shanghai Electric Group Co., Ltd.",2727
601628,中国人寿,9/1/2007,中国人寿保险股份有限公司,China Life Insurance Company Ltd.,2628
601211,国泰君安,26/6/2015,国泰君安证券股份有限公司,"Guotai Junan Securities Co., Ltd.",2611
601607,上海医药,5/3/2010,上海医药集团股份有限公司,"Shanghai Pharmaceuticals Holding Co., Ltd.",2607
601601,中国太保,25/12/2007,中国太平洋保险(集团)股份有限公司,"China Pacific Insurance (Group) Co., Ltd.",2601
338,潍柴动力,30/4/2007,潍柴动力股份有限公司,"Weichai Power Co., Ltd.",2338
601633,长城汽车,28/9/2011,长城汽车股份有限公司,Great Wall Motor Company Limited,2333
601318,中国平安,1/3/2007,中国平安保险(集团)股份有限公司,"Ping An Insurance (Group) Company of China, Ltd.",2318
601238,广汽集团,29/3/2012,广州汽车集团股份有限公司,"Guangzhou Automobile Group Co., Ltd.",2238
2202,金风科技,26/12/2007,新疆金风科技股份有限公司,"Xinjiang Goldwind Science & Technology Co., Ltd.",2208
2,万科A,29/1/1991,万科企业股份有限公司,"China Vanke Co., Ltd.",2202
600196,复星医药,7/8/1998,上海复星医药(集团)股份有限公司,"Shanghai Fosun Pharmaceutical (Group) Co., Ltd.",2196
39,中集集团,8/4/1994,中国国际海运集装箱(集团)股份有限公司,"China International Marine Containers (Group) Co., Ltd.",2039
601992,金隅集团,1/3/2011,北京金隅集团股份有限公司,BBMG Corporation,2009
600016,民生银行,19/12/2000,中国民生银行股份有限公司,"China Minsheng Banking Corp., Ltd.",1988
601898,中煤能源,1/2/2008,中国中煤能源股份有限公司,China Coal Energy Company Limited,1898
488,晨鸣纸业,20/11/2000,山东晨鸣纸业集团股份有限公司,Shandong Chenming Paper Holdings Ltd.,1812
601800,中国交建,9/3/2012,中国交通建设股份有限公司,China Communications Construction Company Limited,1800
600547,山东黄金,28/8/2003,山东黄金矿业股份有限公司,"Shandong Gold Mining Co., Ltd.",1787
776,广发证券,11/6/1997,广发证券股份有限公司,"GF Securities Co., Ltd.",1776
2460,赣锋锂业,10/8/2010,江西赣锋锂业股份有限公司,"Jiangxi Ganfeng Lithium Co., Ltd.",1772
601766,中国中车,18/8/2008,中国中车股份有限公司,CRRC Corporation Limited,1766
600635,大众公用,4/3/1993,上海大众公用事业(集团)股份有限公司,"Shanghai Dazhong Public Utilities (Group) Co., Ltd.",1635
601618,中国中冶,21/9/2009,中国冶金科工股份有限公司,Metallurgical Corporation of China Ltd.,1618
513,丽珠集团,28/10/1993,丽珠医药集团股份有限公司,Livzon Pharmaceutical Group Inc.,1513
601398,工商银行,27/10/2006,中国工商银行股份有限公司,Industrial and Commercial Bank of China Limited,1398
601336,新华保险,16/12/2011,新华人寿保险股份有限公司,New China Life Insurance Company Limited,1336
2594,比亚迪,30/6/2011,比亚迪股份有限公司,BYD Company Limited,1211
601186,中国铁建,10/3/2008,中国铁建股份有限公司,China Railway Construction Corporation Limited,1186
600188,兖州煤业,1/7/1998,兖州煤业股份有限公司,Yanzhou Coal Mining Company Limited,1171
157,中联重科,12/10/2000,中联重科股份有限公司,"Zoomlion Heavy Industry Science & Technology Co., Ltd.",1157
600026,中远海能,23/5/2002,中远海运能源运输股份有限公司,"COSCO SHIPPING Energy Transportation Co., Ltd.",1138
601088,中国神华,9/10/2007,中国神华能源股份有限公司,China Shenhua Energy Company Limited,1088
600875,东方电气,10/10/1995,东方电气股份有限公司,Dongfang Electric Corporation Limited,1072
600027,华电国际,3/2/2005,华电国际电力股份有限公司,Huadian Power International Corporation Limited,1071
600874,创业环保,30/6/1995,天津创业环保集团股份有限公司,"Tianjin Capital Environmental Protection Group Co., Ltd.",1065
2703,浙江世宝,2/11/2012,浙江世宝股份有限公司,Zhejiang Shibao Company Limited,1057
600029,南方航空,25/7/2003,中国南方航空股份有限公司,China Southern Airlines Company Limited,1055
601998,中信银行,27/4/2007,中信银行股份有限公司,China CITIC Bank?Corporation?Limited,998
600012,皖通高速,7/1/2003,安徽皖通高速公路股份有限公司,Anhui Expressway Company Limited,995
601991,大唐发电,20/12/2006,大唐国际发电股份有限公司,"Datang International Power Generation Co., Ltd.",991
601939,建设银行,25/9/2007,中国建设银行股份有限公司,China Construction Bank Corporation,939
921,海信家电,13/7/1999,海信家电集团股份有限公司,"Hisense Home Appliances Group Co., Ltd.",921
600585,海螺水泥,7/2/2002,安徽海螺水泥股份有限公司,Anhui Conch Cement Company Limited,914
600011,华能国际,6/12/2001,华能国际电力股份有限公司,Huaneng Power International Inc.,902
2672,东江环保,26/4/2012,东江环保股份有限公司,Dongjiang Environmental Company Limited,895
600332,白云山,6/2/2001,广州白云山医药集团股份有限公司,Guangzhou Baiyunshan Pharmaceutical Holdings Company Limited,874
601857,中国石油,5/11/2007,中国石油天然气股份有限公司,PetroChina Company Limited,857
63,中兴通讯,18/11/1997,中兴通讯股份有限公司,ZTE Corporation,763
601111,中国国航,18/8/2006,中国国际航空股份有限公司,Air China Limited,753
756,新华制药,6/8/1997,山东新华制药股份有限公司,Shandong Xinhua Pharmaceutical Company Limited,719
600115,东方航空,5/11/1997,中国东方航空股份有限公司,China Eastern Airlines Corporation Limited,670
601588,北辰实业,16/10/2006,北京北辰实业股份有限公司,Beijing North Star Company Limited,588
601717,郑煤机,3/8/2010,郑州煤矿机械集团股份有限公司,"Zhengzhou Coal Mining Machinery Group Co., Ltd.",564
600775,南京熊猫,18/11/1996,南京熊猫电子股份有限公司,"Nanjing Panda Electronics Co., Ltd.",553
600548,深高速,25/12/2001,深圳高速公路股份有限公司,Shenzhen Expressway Company Limited,548
601333,广深铁路,22/12/2006,广深铁路股份有限公司,"Guangshen Railway Co., Ltd.",525
601390,中国中铁,3/12/2007,中国中铁股份有限公司,China Railway Group Limited,390
600028,中国石化,8/8/2001,中国石油化工股份有限公司,China Petroleum & Chemical Corporation,386
600362,江西铜业,11/1/2002,江西铜业股份有限公司,Jiangxi Copper Co. Ltd.,358
898,鞍钢股份,25/12/1997,鞍钢股份有限公司,"Angang Steel Co., Ltd.",347
600688,上海石化,8/11/1993,中国石化上海石油化工股份有限公司,Sinopec Shanghai Petrochemical Company Limited,338
600808,马钢股份,6/1/1994,马鞍山钢铁股份有限公司,"Ma'anshan Iron & Steel Co., Ltd.",323
600685,中船防务,28/10/1993,中船海洋与防务装备股份有限公司,CSSC Offshore & Marine Engineering (Group) Company Limited,317
600377,宁沪高速,16/1/2001,江苏宁沪高速公路股份有限公司,Jiangsu Expressway Company Limited,177
600600,青岛啤酒,27/8/1993,青岛啤酒股份有限公司,"Tsingtao Brewery Co., Ltd.",168
601107,四川成渝,27/7/2009,四川成渝高速公路股份有限公司,Sichuan Expressway Company Limited,107
601038,一拖股份,8/8/2012,第一拖拉机股份有限公司,First Tractor Company Limited,38
