Indexcd,Trddt,Idxret
HSI,4/1/2016,-0.026799
HSI,5/1/2016,-0.006489
HSI,6/1/2016,-0.009812
HSI,7/1/2016,-0.03086
HSI,8/1/2016,0.00592
HSI,11/1/2016,-0.027634
HSI,12/1/2016,-0.008887
HSI,13/1/2016,0.011319
HSI,14/1/2016,-0.005893
HSI,15/1/2016,-0.014969
HSI,18/1/2016,-0.014514
HSI,19/1/2016,0.020708
HSI,20/1/2016,-0.038171
HSI,21/1/2016,-0.018222
HSI,22/1/2016,0.029034
HSI,25/1/2016,0.013607
HSI,26/1/2016,-0.024785
HSI,27/1/2016,0.010161
HSI,28/1/2016,0.007526
HSI,29/1/2016,0.025385
HSI,1/2/2016,-0.004451
HSI,2/2/2016,-0.007586
HSI,3/2/2016,-0.02341
HSI,4/2/2016,0.010083
HSI,5/2/2016,0.005478
HSI,11/2/2016,-0.038488
HSI,12/2/2016,-0.012198
HSI,15/2/2016,0.032673
HSI,16/2/2016,0.01078
HSI,17/2/2016,-0.010329
HSI,18/2/2016,0.023171
HSI,19/2/2016,-0.004007
HSI,22/2/2016,0.00926
HSI,23/2/2016,-0.002533
HSI,24/2/2016,-0.011452
HSI,25/2/2016,-0.015824
HSI,26/2/2016,0.025168
HSI,29/2/2016,-0.013025
HSI,1/3/2016,0.015463
HSI,2/3/2016,0.030711
HSI,3/3/2016,-0.003086
HSI,4/3/2016,0.011781
HSI,7/3/2016,-0.000842
HSI,8/3/2016,-0.007348
HSI,9/3/2016,-0.000766
HSI,10/3/2016,-0.000592
HSI,11/3/2016,0.010767
HSI,14/3/2016,0.011671
HSI,15/3/2016,-0.007172
HSI,16/3/2016,-0.001531
HSI,17/3/2016,0.012149
HSI,18/3/2016,0.008185
HSI,21/3/2016,0.000606
HSI,22/3/2016,-0.000841
HSI,23/3/2016,-0.002493
HSI,24/3/2016,-0.013079
HSI,29/3/2016,0.001017
HSI,30/3/2016,0.021461
HSI,31/3/2016,-0.001283
HSI,1/4/2016,-0.01337
HSI,4/4/2016,0
HSI,5/4/2016,-0.015704
HSI,6/4/2016,0.00147
HSI,7/4/2016,0.002939
HSI,8/4/2016,0.005149
HSI,11/4/2016,0.003456
HSI,12/4/2016,0.003113
HSI,13/4/2016,0.031909
HSI,14/4/2016,0.008465
HSI,15/4/2016,-0.001
HSI,18/4/2016,-0.00727
HSI,19/4/2016,0.012982
HSI,20/4/2016,-0.009325
HSI,21/4/2016,0.018174
HSI,22/4/2016,-0.007178
HSI,25/4/2016,-0.007574
HSI,26/4/2016,0.004827
HSI,27/4/2016,-0.002133
HSI,28/4/2016,0.001237
HSI,29/4/2016,-0.015007
HSI,3/5/2016,-0.018518
HSI,4/5/2016,-0.007308
HSI,5/5/2016,-0.003703
HSI,6/5/2016,-0.016624
HSI,9/5/2016,0.002334
HSI,10/5/2016,0.00426
HSI,11/5/2016,-0.009257
HSI,12/5/2016,-0.006972
HSI,13/5/2016,-0.00985
HSI,16/5/2016,0.00835
HSI,17/5/2016,0.011811
HSI,18/5/2016,-0.014533
HSI,19/5/2016,-0.006662
HSI,20/5/2016,0.008016
HSI,23/5/2016,-0.002175
HSI,24/5/2016,0.00108
HSI,25/5/2016,0.027111
HSI,26/5/2016,0.001427
HSI,27/5/2016,0.008808
HSI,30/5/2016,0.002557
HSI,31/5/2016,0.009002
HSI,1/6/2016,-0.0026
HSI,2/6/2016,0.004732
HSI,3/6/2016,0.00422
HSI,6/6/2016,0.003961
HSI,7/6/2016,0.014171
HSI,8/6/2016,-0.001423
HSI,10/6/2016,-0.011984
HSI,13/6/2016,-0.02517
HSI,14/6/2016,-0.006116
HSI,15/6/2016,0.003923
HSI,16/6/2016,-0.020965
HSI,17/6/2016,0.006565
HSI,20/6/2016,0.016868
HSI,21/6/2016,0.007715
HSI,22/6/2016,0.006129
HSI,23/6/2016,0.003521
HSI,24/6/2016,-0.029193
HSI,27/6/2016,-0.001571
HSI,28/6/2016,-0.002711
HSI,29/6/2016,0.01307
HSI,30/6/2016,0.01753
HSI,4/7/2016,0.012736
HSI,5/7/2016,-0.014648
HSI,6/7/2016,-0.012309
HSI,7/7/2016,0.010326
HSI,8/7/2016,-0.006894
HSI,11/7/2016,0.015383
HSI,12/7/2016,0.016486
HSI,13/7/2016,0.0046
HSI,14/7/2016,0.011194
HSI,15/7/2016,0.004554
HSI,18/7/2016,0.006645
HSI,19/7/2016,-0.005962
HSI,20/7/2016,0.009656
HSI,21/7/2016,0.005393
HSI,22/7/2016,-0.001646
HSI,25/7/2016,0.001328
HSI,26/7/2016,0.006197
HSI,27/7/2016,0.004033
HSI,28/7/2016,-0.00201
HSI,29/7/2016,-0.012761
HSI,1/8/2016,0.010861
HSI,3/8/2016,-0.017625
HSI,4/8/2016,0.004283
HSI,5/8/2016,0.014376
HSI,8/8/2016,0.015744
HSI,9/8/2016,-0.001296
HSI,10/8/2016,0.001194
HSI,11/8/2016,0.003918
HSI,12/8/2016,0.008253
HSI,15/8/2016,0.007274
HSI,16/8/2016,-0.000945
HSI,17/8/2016,-0.004847
HSI,18/8/2016,0.009797
HSI,19/8/2016,-0.003733
HSI,22/8/2016,0.002646
HSI,23/8/2016,0.000044
HSI,24/8/2016,-0.007746
HSI,25/8/2016,-0.000255
HSI,26/8/2016,0.004146
HSI,29/8/2016,-0.00385
HSI,30/8/2016,0.008535
HSI,31/8/2016,-0.001704
HSI,1/9/2016,0.008072
HSI,2/9/2016,0.004506
HSI,5/9/2016,0.016455
HSI,6/9/2016,0.005841
HSI,7/9/2016,-0.001928
HSI,8/9/2016,0.007478
HSI,9/9/2016,0.00754
HSI,12/9/2016,-0.033573
HSI,13/9/2016,-0.003213
HSI,14/9/2016,-0.001082
HSI,15/9/2016,0.00625
HSI,19/9/2016,0.009207
HSI,20/9/2016,-0.000832
HSI,21/9/2016,0.005909
HSI,22/9/2016,0.003798
HSI,23/9/2016,-0.003086
HSI,26/9/2016,-0.01556
HSI,27/9/2016,0.010892
HSI,28/9/2016,0.002026
HSI,29/9/2016,0.005073
HSI,30/9/2016,-0.018632
HSI,3/10/2016,0.012331
HSI,4/10/2016,0.004453
HSI,5/10/2016,0.004174
HSI,6/10/2016,0.006902
HSI,7/10/2016,-0.004203
HSI,11/10/2016,-0.012674
HSI,12/10/2016,-0.00605
HSI,13/10/2016,-0.016053
HSI,14/10/2016,0.008771
HSI,17/10/2016,-0.008426
HSI,18/10/2016,0.01549
HSI,19/10/2016,-0.003822
HSI,20/10/2016,0.002979
HSI,24/10/2016,0.009826
HSI,25/10/2016,-0.001651
HSI,26/10/2016,-0.010171
HSI,27/10/2016,-0.008278
HSI,28/10/2016,-0.007675
HSI,31/10/2016,-0.000883
HSI,1/11/2016,0.009267
HSI,2/11/2016,-0.014541
HSI,3/11/2016,-0.005567
HSI,4/11/2016,-0.001803
HSI,7/11/2016,0.007012
HSI,8/11/2016,0.00474
HSI,9/11/2016,-0.021575
HSI,10/11/2016,0.018912
HSI,11/11/2016,-0.013487
HSI,14/11/2016,-0.013709
HSI,15/11/2016,0.004576
HSI,16/11/2016,-0.001943
HSI,17/11/2016,-0.000792
HSI,18/11/2016,0.003653
HSI,21/11/2016,0.000607
HSI,22/11/2016,0.014326
HSI,23/11/2016,-0.000061
HSI,24/11/2016,-0.003007
HSI,25/11/2016,0.005085
HSI,28/11/2016,0.004714
HSI,29/11/2016,-0.004095
HSI,30/11/2016,0.002318
HSI,1/12/2016,0.003882
HSI,2/12/2016,-0.013699
HSI,5/12/2016,-0.002627
HSI,6/12/2016,0.007536
HSI,7/12/2016,0.005547
HSI,8/12/2016,0.002672
HSI,9/12/2016,-0.004412
HSI,12/12/2016,-0.014409
HSI,13/12/2016,0.00061
HSI,14/12/2016,0.000442
HSI,15/12/2016,-0.017688
HSI,16/12/2016,-0.001752
HSI,19/12/2016,-0.008541
HSI,20/12/2016,-0.004746
HSI,21/12/2016,0.003716
HSI,22/12/2016,-0.00796
HSI,23/12/2016,-0.00284
HSI,28/12/2016,0.008342
HSI,29/12/2016,0.001663
HSI,30/12/2016,0.009621
HSI,3/1/2017,0.006811
HSI,4/1/2017,-0.000719
HSI,5/1/2017,0.014557
HSI,6/1/2017,0.002063
HSI,9/1/2017,0.002474
HSI,10/1/2017,0.008252
HSI,11/1/2017,0.008376
HSI,12/1/2017,-0.004636
HSI,13/1/2017,0.004747
HSI,16/1/2017,-0.009558
HSI,17/1/2017,0.005406
HSI,18/1/2017,0.011264
HSI,19/1/2017,-0.002091
HSI,20/1/2017,-0.007117
HSI,23/1/2017,0.000551
HSI,24/1/2017,0.002242
HSI,25/1/2017,0.004325
HSI,26/1/2017,0.014102
HSI,27/1/2017,-0.000573
HSI,1/2/2017,-0.001815
HSI,2/2/2017,-0.005741
HSI,3/2/2017,-0.002386
HSI,6/2/2017,0.00947
HSI,7/2/2017,-0.000714
HSI,8/2/2017,0.006582
HSI,9/2/2017,0.001704
HSI,10/2/2017,0.002119
HSI,13/2/2017,0.005769
HSI,14/2/2017,-0.000336
HSI,15/2/2017,0.012313
HSI,16/2/2017,0.004702
HSI,17/2/2017,-0.003068
HSI,20/2/2017,0.004674
HSI,21/2/2017,-0.007556
HSI,22/2/2017,0.009945
HSI,23/2/2017,-0.003599
HSI,24/2/2017,-0.006185
HSI,27/2/2017,-0.001696
HSI,28/2/2017,-0.007704
HSI,1/3/2017,0.001506
HSI,2/3/2017,-0.002036
HSI,3/3/2017,-0.00739
HSI,6/3/2017,0.001849
HSI,7/3/2017,0.003593
HSI,8/3/2017,0.004273
HSI,9/3/2017,-0.011803
HSI,10/3/2017,0.002856
HSI,13/3/2017,0.011074
HSI,14/3/2017,-0.000072
HSI,15/3/2017,-0.001473
HSI,16/3/2017,0.020823
HSI,17/3/2017,0.000891
HSI,20/3/2017,0.0079
HSI,21/3/2017,0.003719
HSI,22/3/2017,-0.011089
HSI,23/3/2017,0.0003
HSI,24/3/2017,0.001257
HSI,27/3/2017,-0.006756
HSI,28/3/2017,0.00629
HSI,29/3/2017,0.001897
HSI,30/3/2017,-0.003729
HSI,31/3/2017,-0.007798
HSI,3/4/2017,0.006217
HSI,5/4/2017,0.005742
HSI,6/4/2017,-0.005208
HSI,7/4/2017,-0.000264
HSI,10/4/2017,-0.000211
HSI,11/4/2017,-0.00716
HSI,12/4/2017,0.009342
HSI,13/4/2017,-0.002132
HSI,18/4/2017,-0.013895
HSI,19/4/2017,-0.004124
HSI,20/4/2017,0.0097
HSI,21/4/2017,-0.000622
HSI,24/4/2017,0.004054
HSI,25/4/2017,0.01311
HSI,26/4/2017,0.005009
HSI,27/4/2017,0.004884
HSI,28/4/2017,-0.003375
HSI,2/5/2017,0.003291
HSI,4/5/2017,-0.000496
HSI,5/5/2017,-0.008408
HSI,8/5/2017,0.004149
HSI,9/5/2017,0.012659
HSI,10/5/2017,0.005078
HSI,11/5/2017,0.004402
HSI,12/5/2017,0.001225
HSI,15/5/2017,0.008556
HSI,16/5/2017,-0.001405
HSI,17/5/2017,-0.00167
HSI,18/5/2017,-0.006211
HSI,19/5/2017,0.001526
HSI,22/5/2017,0.008599
HSI,23/5/2017,0.000465
HSI,24/5/2017,0.000998
HSI,25/5/2017,0.007955
HSI,26/5/2017,0.000331
HSI,29/5/2017,0.002432
HSI,31/5/2017,-0.001594
HSI,1/6/2017,0.00579
HSI,2/6/2017,0.004449
HSI,5/6/2017,-0.002355
HSI,6/6/2017,0.005187
HSI,7/6/2017,-0.000884
HSI,8/6/2017,0.003423
HSI,9/6/2017,-0.001257
HSI,12/6/2017,-0.01238
HSI,13/6/2017,0.005604
HSI,14/6/2017,0.000921
HSI,15/6/2017,-0.012002
HSI,16/6/2017,0.002392
HSI,19/6/2017,0.011631
HSI,20/6/2017,-0.003144
HSI,21/6/2017,-0.005745
HSI,22/6/2017,-0.00078
HSI,23/6/2017,-0.000174
HSI,26/6/2017,0.007863
HSI,27/6/2017,-0.001233
HSI,28/6/2017,-0.006056
HSI,29/6/2017,0.010977
HSI,30/6/2017,-0.007735
HSI,3/7/2017,0.00076
HSI,4/7/2017,-0.015326
HSI,5/7/2017,0.005237
HSI,6/7/2017,-0.002224
HSI,7/7/2017,-0.004884
HSI,10/7/2017,0.006283
HSI,11/7/2017,0.014807
HSI,12/7/2017,0.006415
HSI,13/7/2017,0.011616
HSI,14/7/2017,0.001634
HSI,17/7/2017,0.003083
HSI,18/7/2017,0.002054
HSI,19/7/2017,0.00555
HSI,20/7/2017,0.002551
HSI,21/7/2017,-0.001276
HSI,24/7/2017,0.00527
HSI,25/7/2017,0.000194
HSI,26/7/2017,0.003313
