Stkcd,Name,Annodt,Year Ended,Event,Particular,Type,Ex-Date,Book Close Date,Payable Date
1635,????,30/10/2020,Dec-20,Quarter 3,No Dividend,-,-,-,-
,,28/8/2020,Dec-20,Interim,No Dividend,-,-,-,-
,,29/4/2020,Dec-20,Quarter 1,No Dividend,-,-,-,-
,,30/3/2020,Dec-19,Final,D:RMB 0.0600(equivalent to HKD 0.065616),Cash,24/6/2020,2020/06/29-2020/07/02,12/8/2020
,,30/10/2019,Dec-19,Quarter 3,No Dividend,-,-,-,-
,,30/8/2019,Dec-19,Interim,No Dividend,-,-,-,-
,,29/4/2019,Dec-19,Quarter 1,No Dividend,-,-,-,-
,,29/3/2019,Dec-18,Final,D:RMB 0.0600(equivalent to HKD 0.0682793),Cash,14/6/2019,2019/06/18-2019/06/23,9/8/2019
,,30/10/2018,Dec-18,Quarter 3,No Dividend,-,-,-,-
,,30/8/2018,Dec-18,Interim,No Dividend,-,-,-,-
,,27/4/2018,Dec-18,Quarter 1,No Dividend,-,-,-,-
,,29/3/2018,Dec-17,Final,D:RMB 0.0600(equivalent to HKD 0.0741422),Cash,11/6/2018,2018/06/13-2018/06/18,16/7/2018
,,30/10/2017,Dec-17,Quarter 3,No Dividend,-,-,-,-
,,30/8/2017,Dec-17,Interim,No Dividend,-,-,-,-
,,27/4/2017,Dec-17,Quarter 1,No Dividend,-,-,-,-
,,31/3/2017,Dec-16,Final,D:RMB 0.0600(equivalent to HKD 0.0679942),Cash,8/6/2017,2017/06/10-2017/06/15,25/7/2017
1772,????,29/10/2020,Dec-20,Quarter 3,No Dividend,-,-,-,-
,,25/8/2020,Dec-20,Interim,No Dividend,-,-,-,-
,,29/4/2020,Dec-20,Quarter 1,No Dividend,-,-,-,-
,,23/4/2020,Dec-19,Final,D:RMB 0.3000(equivalent to HKD 0.328193),Cash,29/6/2020,2020/07/01-2020/07/08,22/7/2020
,,28/10/2019,Dec-19,Quarter 3,No Dividend,-,-,-,-
,,28/8/2019,Dec-19,Interim,No Dividend,-,-,-,-
,,29/4/2019,Dec-19,Quarter 1,No Dividend,-,-,-,-
,,28/3/2019,Dec-18,Final,D:RMB 0.3000(equivalent to HKD 0.341411),Cash,14/6/2019,2019/06/18-2019/06/23,9/8/2019
,,29/10/2018,Dec-18,Quarter 3,No Dividend,-,-,-,-
1776,????,30/10/2020,Dec-20,Quarter 3,No Dividend,-,-,-,-
,,28/8/2020,Dec-20,Interim,No Dividend,-,-,-,-
,,28/4/2020,Dec-20,Quarter 1,No Dividend,-,-,-,-
,,27/3/2020,Dec-19,Final,D:RMB 0.3500(equivalent to HKD 0.381951),Cash,22/6/2020,2020/06/24-2020/06/29,5/8/2020
,,29/10/2019,Dec-19,Quarter 3,No Dividend,-,-,-,-
,,29/8/2019,Dec-19,Interim,D:RMB 0.2000(equivalent to HKD 0.221815),Cash,4/11/2019,2019/11/06-2019/11/11,13/12/2019
,,29/4/2019,Dec-19,Quarter 1,No Dividend,-,-,-,-
,,26/3/2019,Dec-18,Final,No Dividend,-,-,-,-
,,26/10/2018,Dec-18,Quarter 3,No Dividend,-,-,-,-
,,29/8/2018,Dec-18,Interim,No Dividend,-,-,-,-
,,24/4/2018,Dec-18,Quarter 1,No Dividend,-,-,-,-
,,23/3/2018,Dec-17,Final,D:RMB 0.4000,Cash,13/7/2018,2018/07/17-2018/07/22,15/8/2018
,,27/10/2017,Dec-17,Quarter 3,No Dividend,-,-,-,-
