Stkcd,StartDate,Accper,StateTypeCode,Source,CoverPeriod,eps,eps_diluted
939,1/1/2004,31/12/2004,A,4,12,0.24,
939,1/1/2005,30/6/2005,A,4,6,0.13,
939,1/1/2005,31/12/2005,A,5,12,0.23,
939,1/1/2006,30/6/2006,A,5,6,0.1,
939,1/1/2006,31/12/2006,A,5,12,0.2,
939,1/1/2007,30/6/2007,A,5,6,0.15,
939,1/1/2007,31/12/2007,A,5,12,0.32,
939,1/1/2008,30/6/2008,A,5,6,0.28,
939,1/1/2008,31/12/2008,A,5,12,0.44,
939,1/1/2009,30/6/2009,A,5,6,0.26,
939,1/1/2009,31/12/2009,A,5,12,0.5,
939,1/1/2010,30/6/2010,A,5,6,0.34,
939,1/1/2011,30/6/2011,A,5,6,0.45,
939,1/1/2011,31/12/2011,A,5,12,0.68,0.68
939,1/1/2011,31/12/2011,C,5,12,0.56,0.56
939,1/1/2012,30/6/2012,A,5,6,0.43,0.43
939,1/1/2012,30/6/2012,C,5,6,0.37,0.37
939,1/1/2012,31/12/2012,A,5,12,0.77,0.77
939,1/1/2012,31/12/2012,C,5,12,0.68,0.68
939,1/1/2013,30/6/2013,A,5,6,0.48,0.48
939,1/1/2013,30/6/2013,C,5,6,0.43,0.43
939,1/1/2013,31/12/2013,A,5,12,0.86,0.86
939,1/1/2013,31/12/2013,C,5,12,0.77,0.77
939,1/1/2014,30/6/2014,A,5,6,0.52,0.52
939,1/1/2014,30/6/2014,C,5,6,0.48,0.48
939,1/1/2014,31/12/2014,A,5,12,0.91,0.91
939,1/1/2014,31/12/2014,C,5,12,0.86,0.86
939,1/1/2015,30/6/2015,A,5,6,0.53,0.53
939,1/1/2015,30/6/2015,C,5,6,0.52,0.52
939,1/1/2015,31/12/2015,A,5,12,0.91,0.91
939,1/1/2015,31/12/2015,C,5,12,0.91,0.91
939,1/1/2016,30/6/2016,A,5,6,0.53,0.53
939,1/1/2016,30/6/2016,C,5,6,0.53,0.53
939,1/1/2016,31/12/2016,A,5,12,0.92,0.92
939,1/1/2016,31/12/2016,C,5,12,0.91,0.91
939,1/1/2017,30/6/2017,C,5,6,0.53,0.53
939,1/1/2017,30/6/2017,A,5,6,0.55,0.55
939,1/1/2017,31/12/2017,A,5,12,0.96,0.96
939,1/1/2017,31/12/2017,C,5,12,0.92,0.92
939,1/1/2018,30/6/2018,A,5,6,0.59,0.59
939,1/1/2018,30/6/2018,C,5,6,0.55,0.55
939,1/1/2018,31/12/2018,A,5,12,1,1
939,1/1/2018,31/12/2018,C,5,12,0.96,0.96
939,1/1/2019,30/6/2019,A,5,6,0.62,0.62
939,1/1/2019,30/6/2019,C,5,6,0.59,0.59
939,1/1/2019,31/12/2019,A,5,12,1.05,1.05
939,1/1/2019,31/12/2019,C,5,12,1,1
939,1/1/2020,30/6/2020,A,5,6,0.55,0.55
939,1/1/2020,30/6/2020,C,5,6,0.62,0.62
998,1/1/2004,31/12/2004,A,4,12,0.07,
998,1/1/2005,31/12/2005,A,4,12,0.1,
998,1/1/2006,30/6/2006,A,4,6,0.05,
998,1/1/2006,31/12/2006,A,4,12,0.12,
998,1/1/2007,30/6/2007,A,5,6,0.09,
998,1/1/2007,31/12/2007,A,5,12,0.24,
998,1/1/2008,30/6/2008,A,5,6,0.24,
998,1/1/2008,31/12/2008,A,5,12,0.37,
998,1/1/2009,30/6/2009,A,5,6,0.2,
998,1/1/2009,31/12/2009,A,5,12,0.4,
998,1/1/2010,30/6/2010,A,5,6,0.3,
998,1/1/2010,31/12/2010,A,5,12,0.62,
998,1/1/2011,31/12/2011,A,5,12,0.71,0.71
998,1/1/2011,31/12/2011,C,5,12,0.53,0.53
998,1/1/2012,30/6/2012,A,5,6,0.41,0.41
998,1/1/2012,30/6/2012,C,5,6,0.37,0.37
998,1/1/2012,31/12/2012,A,5,12,0.66,0.66
998,1/1/2012,31/12/2012,C,5,12,0.71,0.71
998,1/1/2013,30/6/2013,A,5,6,0.44,0.44
998,1/1/2013,30/6/2013,C,5,6,0.41,0.41
998,1/1/2013,31/12/2013,A,5,12,0.84,0.84
998,1/1/2013,31/12/2013,C,5,12,0.66,0.66
998,1/1/2014,30/6/2014,A,5,6,0.47,0.47
998,1/1/2014,30/6/2014,C,5,6,0.44,0.44
998,1/1/2014,31/12/2014,A,5,12,0.87,0.87
998,1/1/2014,31/12/2014,C,5,12,0.84,0.84
998,1/1/2015,30/6/2015,A,5,6,0.48,0.48
998,1/1/2015,30/6/2015,C,5,6,0.47,0.47
998,1/1/2015,31/12/2015,A,5,12,0.88,0.88
998,1/1/2015,31/12/2015,C,5,12,0.87,0.87
998,1/1/2016,30/6/2016,A,5,6,0.48,0.48
998,1/1/2016,30/6/2016,C,5,6,0.48,0.48
998,1/1/2016,31/12/2016,A,5,12,0.85,0.85
998,1/1/2016,31/12/2016,C,5,12,0.88,0.88
998,1/1/2017,30/6/2017,A,5,6,0.49,0.49
998,1/1/2017,30/6/2017,C,5,6,0.48,0.48
998,1/1/2017,31/12/2017,A,5,12,0.84,0.84
998,1/1/2017,31/12/2017,C,5,12,0.85,0.85
998,1/1/2018,30/6/2018,A,5,6,0.53,0.53
998,1/1/2018,30/6/2018,C,5,6,0.49,0.49
998,1/1/2018,31/12/2018,A,5,12,0.88,0.88
998,1/1/2018,31/12/2018,C,5,12,0.84,0.84
998,1/1/2019,30/6/2019,A,5,6,0.58,0.55
998,1/1/2019,30/6/2019,C,5,6,0.53,0.53
998,1/1/2019,31/12/2019,A,5,12,0.95,0.89
998,1/1/2019,31/12/2019,C,5,12,0.88,0.88
998,1/1/2020,30/6/2020,A,5,6,0.52,0.48
998,1/1/2020,30/6/2020,C,5,6,0.58,0.55
1336,1/1/2011,31/12/2011,A,5,12,1.24,1.24
1336,1/1/2011,31/12/2011,C,5,12,1.87,1.87
1336,1/1/2012,30/6/2012,A,5,6,0.61,0.61
1336,1/1/2012,30/6/2012,C,5,6,0.93,0.93
1336,1/1/2012,31/12/2012,A,5,12,0.94,0.94
1336,1/1/2012,31/12/2012,C,5,12,1.24,1.24
1336,1/1/2013,30/6/2013,A,5,6,0.7,0.7
1336,1/1/2013,30/6/2013,C,5,6,0.61,0.61
1336,1/1/2013,31/12/2013,A,5,12,1.42,1.42
1336,1/1/2013,31/12/2013,C,5,12,0.94,0.94
1336,1/1/2014,30/6/2014,A,5,6,1.2,1.2
1336,1/1/2014,30/6/2014,C,5,6,0.7,0.7
1336,1/1/2014,31/12/2014,A,5,12,2.05,2.05
1336,1/1/2014,31/12/2014,C,5,12,1.42,1.42
1336,1/1/2015,30/6/2015,A,5,6,2.16,2.16
1336,1/1/2015,30/6/2015,C,5,6,1.2,1.2
1336,1/1/2015,31/12/2015,A,5,12,2.76,2.76
1336,1/1/2015,31/12/2015,C,5,12,2.05,2.05
1336,1/1/2016,30/6/2016,A,5,6,1.07,1.07
1336,1/1/2016,30/6/2016,C,5,6,2.16,2.16
1336,1/1/2016,31/12/2016,A,5,12,1.58,1.58
1336,1/1/2016,31/12/2016,C,5,12,2.76,2.76
1336,1/1/2017,30/6/2017,A,5,6,1.04,1.04
1336,1/1/2017,30/6/2017,C,5,6,1.07,1.07
1336,1/1/2017,31/12/2017,A,5,12,1.73,1.73
